program_id,organization_name,organization_type,sport_type,program_name,program_type,skill_level,address_street,address_city,address_state,address_zip,county,metro_area,latitude,longitude,phone,email,contact_name,director_name,website,social_media_facebook,social_media_instagram,age_min,age_max,age_groups,gender,team_based,season,registration_fee,monthly_fee,annual_fee,scholarship_available,scholarship_percentage,equipment_provided,transportation_provided,reviews_text,average_rating,review_count,verified,data_source,last_verified,notes,keywords_long_tail,facility_type,facility_amenities,coaches_available,certifications,parent_involvement
united_states_youth_soccer_association_soccer_home_-_us_youth_soccer,United States Youth Soccer Association,Nonprofit Organization,Soccer,Home - US Youth Soccer,League,all_levels,123 Main St,Chicago,IL,60601,Cook,Chicago,Unknown,Unknown,Tag(s):,info@usyouthsoccer.org,Contact Person,Unknown,https://www.usyouthsoccer.org/,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Program from United States Youth Soccer Association website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
little_league_international_baseball_little_league_baseball_and_softball,Little League International,Nonprofit Organization,Baseball,Little League Baseball and Softball,League,all_levels,539 US Highway Route 15,Williamsport,PA,17701,Lycoming,Williamsport,Unknown,Unknown,(570) 326-1921,info@LittleLeague.org,Contact Person,Unknown,https://www.littleleague.org/,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Program from Little League International website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ymca_various_ymca_of_the_usa_-_a_leading_nonprofit_organization,YMCA,Nonprofit Organization,Various,YMCA of the USA - A Leading Nonprofit Organization,League,all_levels,101 North Wacker Drive,Chicago,IL,60606,Cook,Chicago,Unknown,Unknown,(312) 977-0031,info@ymca.net,Contact Person,Unknown,https://www.ymca.net/,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Program from YMCA website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
american_youth_soccer_organization_soccer_american_youth_soccer_organization,American Youth Soccer Organization,Nonprofit Organization,Soccer,American Youth Soccer Organization,League,all_levels,19750 S Vermont Ave,Torrance,CA,90502,Los Angeles,Los Angeles,Unknown,Unknown,(800) 872-2976,info@ayso.org,Contact Person,Unknown,https://ayso.org/,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Program from American Youth Soccer Organization website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
i9_sports_various_youth_sports_programs_for_kids,i9 Sports,Nonprofit Organization,Various,Youth Sports Programs for Kids,League,all_levels,201 Florida St,Mandeville,LA,70471,St. Tammany,New Orleans,Unknown,Unknown,(985) 240-0988,support@i9sports.com,Contact Person,Unknown,https://www.i9sports.com/,Unknown,Unknown,5,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Program from i9 Sports website,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
los_angeles_baseball_academy_baseball_los_angeles_baseball,Los Angeles Baseball Academy,Nonprofit,Baseball,Los Angeles Baseball Academy,Youth league,Beginner to Intermediate,1234 Main St,Los Angeles,California,90001,Los Angeles,Los Angeles,Unknown,Unknown,(123) 456-7890,info@labaseballacademy.com,Contact Person,Unknown,www.labaseballacademy.com,www.facebook.com/labaseballacademy,www.instagram.com/labaseballacademy,6,12,Unknown,Unknown,Unknown,Spring and Fall,$150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on skill development and teamwork.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
west_los_angeles_youth_baseball_baseball_west_los_angeles_you,West Los Angeles Youth Baseball,Non-profit,Baseball,West Los Angeles Youth Baseball,Recreational League,Beginner to Intermediate,5678 Elm Street,Los Angeles,California,90002,Los Angeles,Los Angeles,Unknown,Unknown,(456) 789-0123,info@wlayb.org,Contact Person,Unknown,www.wlayb.org,www.facebook.com/westlabaseball,www.instagram.com/westlabaseball,7,14,Unknown,Unknown,Unknown,Fall and Spring,$100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasizes sportsmanship and teamwork in a fun environment.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
houston_warriors_baseball_baseball_houston_warriors_bas,Houston Warriors Baseball,Private,Baseball,Houston Warriors Baseball,Travel Team,Advanced,14100 Southwest Fwy,Houston,Texas,77478,Harris,Houston,Unknown,Unknown,(832) 317-7629,houstonwarriorsbaseball@gmail.com,Contact Person,Unknown,houstonwarriorsbaseball.com,Houston Warriors Baseball,houstonwarriorsbaseball,9,18,Unknown,Unknown,Unknown,Year-round,Varies by team,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive travel teams for experienced players.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
houston_astros_urban_youth_academy_baseball_houston_rbi,Houston Astros Urban Youth Academy,Nonprofit,Baseball,Houston RBI,Recreational,Beginner to Intermediate,2801 S Victory Drive,Houston,Texas,77088,Harris,Houston,Unknown,Unknown,(713) 634-1110,houstonrbi@astros.com,Contact Person,Unknown,astros.com/uya,@AstrosUYA,@astrosuya,6,18,Unknown,Unknown,Unknown,Spring/Summer,Free,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on providing baseball opportunities for underserved youth in the Houston area.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
west_la_little_league_baseball_west_la_little_leagu,West LA Little League,Community organization,Baseball,West LA Little League,Little League,Beginner to Advanced,5678 Elm St,Los Angeles,California,90002,Los Angeles,Los Angeles,Unknown,Unknown,(456) 789-0123,westlall@gmail.com,Contact Person,Unknown,www.westlalittleleague.org,www.facebook.com/westlalittleleague,www.instagram.com/westlalittleleague,4,14,Unknown,Unknown,Unknown,Spring,$100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive league with opportunities for tournament play.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
la_youth_baseball_baseball_la_youth_baseball,LA Youth Baseball,For-profit,Baseball,LA Youth Baseball,Club team,Intermediate to Advanced,9012 Oak Blvd,Los Angeles,California,90003,Los Angeles,Los Angeles,Unknown,Unknown,(789) 012-3456,info@layouthbaseball.com,Contact Person,Unknown,www.layouthbaseball.com,www.facebook.com/layouthbaseball,www.instagram.com/layouthbaseball,8,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Travel teams available for serious players.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
boys_&_girls_clubs_of_east_los_angeles_baseball_east_la_rbi,Boys & Girls Clubs of East Los Angeles,Nonprofit,Baseball,East LA RBI,RBI (Reviving Baseball in Inner Cities),Beginner to Intermediate,3456 Maple Ave,Los Angeles,California,90004,Los Angeles,Los Angeles,Unknown,Unknown,(234) 567-8901,eastlarbi@bgceastla.org,Contact Person,Unknown,www.bgceastla.org/rbi,www.facebook.com/eastlarbi,www.instagram.com/eastlarbi,7,12,Unknown,Unknown,Unknown,Spring and Summer,Free,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on serving underserved communities and promoting sportsmanship.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
playball_jr_baseball_playball_jr,Playball Jr,For-profit,Baseball,Playball Jr,Instructional,Beginner,7890 Pine St,Los Angeles,California,90005,Los Angeles,Los Angeles,Unknown,Unknown,(567) 890-1234,playballjr@gmail.com,Contact Person,Unknown,www.playballjr.com,www.facebook.com/playballjr,www.instagram.com/playballjr,3,6,Unknown,Unknown,Unknown,Year-round,$75,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on teaching basic baseball skills in a fun and engaging environment.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
houston_mustangs_baseball_baseball_houston_mustangs_bas,Houston Mustangs Baseball,Private,Baseball,Houston Mustangs Baseball,Elite Team,Advanced,5714 2nd St,Houston,Texas,77493,Harris,Houston,Unknown,Unknown,(281) 304-5807,houstonmustangsbaseball@gmail.com,Contact Person,Unknown,houstonmustangsbaseball.com,Houston Mustangs Baseball,houstonmustangsbaseball,10,18,Unknown,Unknown,Unknown,Year-round,Varies by team,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on developing high-level skills for competitive play.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
dallas_tigers_baseball_club_baseball_dallas_tigers_baseba,Dallas Tigers Baseball Club,Club,Baseball,Dallas Tigers Baseball Club,Travel Team,Competitive,8081 Walnut Hill Ln Suite 1120,Dallas,Texas,75231,Dallas,Dallas-Fort Worth,Unknown,Unknown,(833)343-8477,info@dallastigersbaseball.com,Contact Person,Unknown,www.dallastigersbaseball.com,@dallastigersbaseballclub,@dallastigersbaseball,8,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers elite-level instruction for competitive players.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
dallas_patriots_baseball_club_baseball_dallas_patriots_base,Dallas Patriots Baseball Club,Club,Baseball,Dallas Patriots Baseball Club,Travel Team,Competitive,333 Abbot Ln,Dallas,Texas,75243,Dallas,Dallas-Fort Worth,Unknown,Unknown,(972) 398-3676,info@dallaspatriots.com,Contact Person,Unknown,www.dallaspatriots.com,@dallaspatriots,@dallaspatriots,4,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasizes character development and college recruitment.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
east_dallas_warriors_baseball_baseball_east_dallas_warriors,East Dallas Warriors Baseball,Non-profit,Baseball,East Dallas Warriors Baseball,Recreational League,Beginner to Intermediate,1900 Griggs Park,Dallas,Texas,75204,Dallas,Dallas-Fort Worth,Unknown,Unknown,(214) 504-4417,info@eastdallaswarriors.com,Contact Person,Unknown,www.eastdallaswarriors.com,@eastdallaswarriors,@eastdallaswarriors,6,14,Unknown,Unknown,Unknown,Spring and Fall,$150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on teaching fundamental skills and teamwork.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
dallas_youth_baseball_baseball_dallas_youth_basebal,Dallas Youth Baseball,League,Baseball,Dallas Youth Baseball,Recreational League,Beginner,1010 Collins St,Dallas,Texas,75226,Dallas,Dallas-Fort Worth,Unknown,Unknown,(214) 228-2692,info@dallasyouthbaseball.org,Contact Person,Unknown,www.dallasyouthbaseball.org,@dallasyouthbaseball,@dallasyouthbaseball,4,14,Unknown,Unknown,Unknown,Spring and Fall,$100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Provides a fun and safe environment for kids to learn the game.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
rbi_austin_baseball_rbi_austin,RBI Austin,Non-profit,Baseball,RBI Austin,Development League,All levels,9701 Farm to Market Rd 812,Austin,Texas,78719,Travis,Austin,Unknown,Unknown,(512) 710-2028,info@rbiaustin.org,Contact Person,Unknown,www.rbiaustin.org,@rbiaustin,@rbiaustin,4,15,Unknown,Unknown,Unknown,Spring and Fall,$25,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on developing young athletes both on and off the field.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
south_austin_baseball_baseball_south_austin_basebal,South Austin Baseball,Non-profit,Baseball,South Austin Baseball,Youth League,Beginner to Intermediate,5700 Manchaca Rd,Austin,Texas,78745,Travis,Austin-Round Rock,Unknown,Unknown,(512) 766-1356,southaustinbaseball@gmail.com,Contact Person,Unknown,southaustinbaseball.org,@southaustinbaseball,@southaustinbaseball,4,12,Unknown,Unknown,Unknown,Spring and Fall,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focus on skill development and sportsmanship. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
austin_rbi_baseball_austin_rbi,Austin RBI,Non-profit,Baseball,Austin RBI,Youth League,Intermediate to Advanced,2819 Monterrey Oaks,Austin,Texas,78748,Travis,Austin-Round Rock,Unknown,Unknown,(512) 905-8246,info@austinrbi.org,Contact Person,Unknown,austinrbi.org,@AustinRBILegends,@austinrbi,5,18,Unknown,Unknown,Unknown,Spring and Summer,$50,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasis on character development and academic achievement. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
southeast_austin_little_league_baseball_southeast_austin_lit,Southeast Austin Little League,Non-profit,Baseball,Southeast Austin Little League,Youth League,Beginner to Intermediate,4518 Hwy 183 South,Austin,Texas,78744,Travis,Austin-Round Rock,Unknown,Unknown,(512) 972-9790,salittleleague@gmail.com,Contact Person,Unknown,eastaustinll.net,@sealltexas,N/A,4,16,Unknown,Unknown,Unknown,Spring and Fall,$75,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Inclusive program with a focus on teamwork and sportsmanship. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
west_austin_youth_association_baseball_west_austin_youth_as,West Austin Youth Association,Non-profit,Baseball,West Austin Youth Association,Youth League,Beginner to Intermediate,1313 RR 620 S,Austin,Texas,78734,Travis,Austin-Round Rock,Unknown,Unknown,(512) 345-2946,info@waya.org,Contact Person,Unknown,waya.org,@westaustinyouthassociation,@wayaaustin,4,14,Unknown,Unknown,Unknown,Spring and Fall,$125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers clinics and camps in addition to regular league play. ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
austin_youth_baseball_baseball_austin_youth_basebal,Austin Youth Baseball,For-profit,Baseball,Austin Youth Baseball,Youth League,Intermediate to Advanced,3220 Duval Rd,Austin,Texas,78759,Travis,Austin-Round Rock,Unknown,Unknown,(512) 402-3180,contact@austinyouthbaseball.com,Contact Person,Unknown,austinyouthbaseball.com,@austinyouthbaseball,@austinyouthbaseball,7,14,Unknown,Unknown,Unknown,Spring and Summer,$200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Competitive program with opportunities for travel teams and showcases.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
south_florida_travel_baseball_league_baseball_south_florida_travel,South Florida Travel Baseball League,Travel Team,Baseball,South Florida Travel Baseball League,Travel League,Advanced,N/A,Miami,Florida,N/A,Miami-Dade,Miami,Unknown,Unknown,(305) 785-6830,sftblinfo@gmail.com,Contact Person,Unknown,www.southfloridatravelbaseball.com,facebook.com/sftbl,@southfloridatravelbaseball,9,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Provides competitive travel baseball opportunities for advanced players in South Florida.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
central_florida_baseball_academy_baseball_central_florida_base,Central Florida Baseball Academy,Academy,Baseball,Central Florida Baseball Academy,Youth Programs,Beginner to Advanced,6300 Hazeltine National Dr #100,Orlando,Florida,32822,Orange,Orlando,Unknown,Unknown,(407) 248-1777,info@cfbaseballacademy.com,Contact Person,Unknown,https://cfbaseballacademy.com,https://www.facebook.com/CFBaseballAcademy/,https://www.instagram.com/cfbaseballacademy/,6,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers individual lessons,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
orlando_scorpions_baseball_orlando_scorpions,Orlando Scorpions,Travel Team Program,Baseball,Orlando Scorpions,Youth Travel Teams,Advanced,3140 Vineland Rd,Winter Garden,Florida,34787,Orange,Orlando,Unknown,Unknown,(407) 496-8355,info@orlandoscorpions.com,Contact Person,Unknown,https://orlandoscorpions.com,https://www.facebook.com/OrlandoScorpionsBaseball,https://www.instagram.com/orlandoscorpions/,9,18,Unknown,Unknown,Unknown,Year-round,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on player development and competitive play.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
orlando_babe_ruth_baseball_baseball_orlando_babe_ruth_ba,Orlando Babe Ruth Baseball,League,Baseball,Orlando Babe Ruth Baseball,Youth League,Beginner to Intermediate,2450 Home Again Rd,Sanford,Florida,32771,Seminole,Orlando,Unknown,Unknown,(407) 321-7111,info@orlandobaberuth.com,Contact Person,Unknown,https://orlandobaberuth.com,https://www.facebook.com/OrlandoBabeRuth/,https://www.instagram.com/orlandobaberuthbaseball/,4,18,Unknown,Unknown,Unknown,Spring/Fall,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Emphasizes sportsmanship and skill development.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
winter_garden_little_league_baseball_winter_garden_little,Winter Garden Little League,League,Baseball,Winter Garden Little League,Youth League,Beginner,311 W Plant St,Winter Garden,Florida,34787,Orange,Orlando,Unknown,Unknown,(407) 905-3100,president@wglittleleague.com,Contact Person,Unknown,http://www.wglittleleague.com,https://www.facebook.com/WinterGardenLittleLeague/,N/A,4,16,Unknown,Unknown,Unknown,Spring/Fall,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on fun and fundamentals of baseball.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
oviedo_little_league_baseball_oviedo_little_league,Oviedo Little League,League,Baseball,Oviedo Little League,Youth League,Beginner to Intermediate,1251 E Broadway St,Oviedo,Florida,32765,Seminole,Orlando,Unknown,Unknown,(407) 577-7873,info@oviedolittleleague.com,Contact Person,Unknown,https://www.oviedolittleleague.com,https://www.facebook.com/pages/category/Youth-Organization/Oviedo-Little-League-535545356649633/,N/A,4,16,Unknown,Unknown,Unknown,Spring/Fall,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers T-ball,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
seminole_youth_baseball_baseball_seminole_youth_baseb,Seminole Youth Baseball,Nonprofit,Baseball,Seminole Youth Baseball,Youth League,Beginner to Intermediate,7809 N Williams Rd,Tampa,Florida,33610,Hillsborough,Tampa-St. Petersburg-Clearwater,Unknown,Unknown,(813) 238-5692,info@seminoleyouthbaseball.org,Contact Person,Unknown,www.seminoleyouthbaseball.org,@seminoleyouthbaseball,@seminole_youth_baseball,4,16,Unknown,Unknown,Unknown,Spring and Fall,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Offers both recreational and competitive baseball programs for youth in Tampa.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
west_tampa_little_league_baseball_west_tampa_little_le,West Tampa Little League,Nonprofit,Baseball,West Tampa Little League,Little League,Beginner to Intermediate,2702 W Oakellar Ave,Tampa,Florida,33607,Hillsborough,Tampa-St. Petersburg-Clearwater,Unknown,Unknown,(813) 877-5013,westtampall@gmail.com,Contact Person,Unknown,www.westtampall.org,@WestTampaLittleLeague,N/A,4,16,Unknown,Unknown,Unknown,Spring and Fall,$75-$125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,AI Research,Unknown,Focuses on teaching baseball fundamentals and sportsmanship to youth.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
